"Course subject code","Course number","Course name","Campus","Course description","Minimum credits","Maximum credits","Is this course repeatable?","What is the maximum number of completions allowed?","What is the maximum number of credits that can be earned from this course?","Grading basis","Requirements","Typically offered term(s)"
"APEC","4451W","Food Marketing Economics","Twin Cities","Economics of food marketing in the United States. Food consumption trends, consumer food behavior, marketing strategies, consumer survey methodology, food distribution/retailing system. Policy issues related to food marketing. Individual/group projects.

prereq: [[1101 or Econ 1101], [1101H or Econ 1101H], SCO 2550 or STAT 3011 or equiv, 60 cr] or instr consent","3","3","No","1","3","OPT - Student Option","000923","Every Fall"
"ARCH","3711V","Honors: Environmental Design and the Sociocultural Context","Twin Cities","Designed environment as cultural medium and as product of a sociocultural process and expression of values, ideas, and behavioral patterns. Design/construction as complex political process.

prereq: Honors, [soph or above]","3","3","No","1","3","A-F - A-F Grade Basis","002141","Every Fall"
"ARCH","3711W","Environmental Design and the Sociocultural Context","Twin Cities","Designed environment as cultural medium/product of sociocultural process/expression of values, ideas, behavioral patterns. Design/construction as complex political process.

prereq: Soph or above","3","3","No","1","3","A-F - A-F Grade Basis","000595","Every Fall"
"ARTH","1007","Introduction to Museum Studies","Twin Cities","This class provides an introduction to museum studies in both theory and practice, with frequent reference to actual examples drawn from the long history of collecting and display. Beginning with a global overview of collecting and exhibitions, students will learn about the rise of modern museums in the nineteenth and twentieth centuries and their roots in private, monarchical, and religious contexts of keeping and curating objects. Different theories of curation and exhibition design will be introduced and discussed, using both historical and contemporary exhibitions as examples. Throughout the semester, and especially in two intensive units, students will be introduced to the wide variety of museum jobs that sustain the profession today. These include an array of fields, including: curatorial, object registrars, preparatorship, education and outreach, and public relations. Working professionals from museums in the Twin Cities will join us throughout the semester, providing students with a practical introduction to these careers.","4","4","No","1","4","OPT - Student Option","-","Periodic Fall"
"ARTH","3216W","The Power of Chicana/o/x Art: 1960s to the present","Twin Cities","What is Chicana/o/x art? Does Ruben Salazar’s bluntly stated notion of a “Chicano” suggest an answer? “A Chicano [Chicana or Chicanx] is a Mexican-American with a non-Anglo image of himself [herself or themselves]” (Los Angeles Times, 1970). Chicano, Chicana, and Chicanx identities crystalized during the Chicano Movement (1965-1980), which witnessed the rise of collective mobilizations to improve the labor conditions, education, housing, health, and civil rights for Mexican Americans. From its inception, the Chicano Movement attracted artists who created a new aesthetic and framework for producing art, but they did not merely illustrate the social and civil rights movement by creating posters and flyers. Artists theorized, negotiated, proposed, and initiated new ethics, aesthetics, and ways of thinking that supported self-determination, hope, social critique, solidarity, and justice. Increasingly since the 1980s, Chicanas and Chicanx artists renegotiated this social justice contract. Chicana/o/x art continues to inform Mexican American cultural production and the nation’s cultural heritage. Social intervention, empowerment, and institutional critique remain some of the most important innovations of American artists, Chicana/o/x artists among them.","3","3","No","1","3","A-F - A-F Grade Basis","-","Every Fall"
"ARTH","3401W","Art on Trial","Twin Cities","Why does art so often elicit anger, debate, protest, and vandalism? Arts controversies raise many difficult questions that this class examines: should artists be allowed to use taxpayer funds to create works of art critical of the government or that some find offensive? Should public sculptures commemorate Confederates, slave owners, or colonialists? How do we know when something is obscene? Is censorship ethical? Do artists have the right to control the fate of their work after it is sold? Who should decide what artists are chosen for public commissions, what artworks are selected for public buildings, or how works of art should be interpreted? Does public opinion make bad art? This course trains students in the history of arts controversies in the United States from the 19th century to the present and in the changing social conditions through which art has become a flashpoint for public debate. Assignments focus on discipline-specific research and writing techniques that build toward a group project in which students research, take up positions, and debate the merits of important case studies. The class is primarily designed for students to learn about the arts and arts policy today, i.e., the art world of which they are and will be citizens. They are asked to inspect the sources of dominant cultural beliefs and to gain a deeper understanding of and take responsibility for their own cultural, political, and artistic values.","3","3","No","1","3","OPT - Student Option","-","Periodic Fall & Spring"
"ARTS","1002","Art and Life: Thinking About Ethics Through Art","Twin Cities","Case examples from visual arts. Ethical theories. Philosophical take on relationship between art, life, ethics. ","3","3","No","1","3","OPT - Student Option","-","Every Fall & Spring"
"ARTS","3401V","Honors: Critical Theories and Their Construction From a Studio Perspective","Twin Cities","How do artists read and write theory? What roles can ideas play in the creative process? This honors course investigates practices and theories that inform the work of contemporary artists. Through a combination of readings, lectures, asynchronous discussions, writing assignments, and experiments in practice and prose, we will explore some significant questions that lie at the crossroads of ethics and aesthetics. We will also dig into our own practices as artists, writers, and thinkers to understand more fully how ethics and aesthetics intersect in what we do. Readings include texts by visual artists and poets, articles from art journals, as well as essays by art historians and critics of visual culture. This course utilizes writing and critical thinking to deepen each student's connection to contemporary art and to reflect on their own aesthetic experiences. As a writing intensive course, Critical Theories emphasizes writing as a multi-purpose tool for making sense of—and with—art.  

While not required, it is recommended that students take ARTS 1001 prior to 3401V.

prereq: Honors Student and Junior or Instructor Consent","3","3","No","1","3","A-F - A-F Grade Basis","000571","Every Fall"
"ARTS","3401W","Critical Theories and Their Construction From a Studio Perspective","Twin Cities","How do artists read and write theory? What roles can ideas play in the creative process? This course investigates practices and theories that inform the work of contemporary artists. Through a combination of readings, lectures, asynchronous discussions, writing assignments, and experiments in practice and prose, we will explore some significant questions that lie at the crossroads of ethics and aesthetics. We will also dig into our own practices as artists, writers, and thinkers to understand more fully how ethics and aesthetics intersect in what we do. Readings include texts by visual artists and poets, articles from art journals, as well as essays by art historians and critics of visual culture. This course utilizes writing and critical thinking to deepen each student's connection to contemporary art and to reflect on their own aesthetic experiences. As a writing intensive course, ARTS3401W: Critical Theories emphasizes writing as a multi-purpose tool for making sense of—and with—art. 

While not required, it is recommended that students take ARTS 1001 prior to 3401W.

Prerequisite: Junior or Instructor Consent.","3","3","No","1","3","OPT - Student Option","000238","Every Fall & Spring"
"BA","2005","Business Ethics, Corporate Responsibility & Sustainability","Twin Cities","This course seeks to give you the vocabulary necessary to describe and explain the ethical issues you will learn to identify through lectures, readings, and case studies. It will provide you with a decision-making framework that you can use to disentangle the most complicated scenarios, which will then allow you to use critical thinking and analysis to arrive at a decision on how you would respond as an individual in an ethically-defensible manner. This course will also anticipate your future career growth into positions of management and leadership, and will help give you the tools to manage people, money, and business affairs both effectively and ethically. 
BA 2005 was previously offered as Mgmt 1005","3","3","No","1","3","A-F - A-F Grade Basis","000011","Every Fall & Spring"
"BA","2005H","Business Ethics, Corporate Responsibility and Sustainability","Twin Cities","This course seeks to give you the vocabulary necessary to describe and explain the ethical issues you will learn to identify through lectures, readings, and case studies. You will be provided with a decision-making framework that you can use to disentangle the most complicated scenarios, which will then allow you to use critical thinking and analysis to arrive at a decision on how you would respond as an individual in an ethically-defensible manner. This course will also anticipate your future career growth into positions of management and leadership, and will help give you the tools to manage people, money, and business affairs both effectively and ethically. BA2005H was previously offered as MGMT1005H 

prereq: Honors student","3","3","No","1","3","A-F - A-F Grade Basis","000571","Every Spring"
"BIOL","1012","Human Biology: Concepts and Current Ethical Issues","Twin Cities","One semester exploration of human anatomy and physiology within the context of ethics; topics such as human genetic diversity, organs and tissues, disease and reproduction. Weekly policy debates.  Active learning format. Animal dissections required. Suitable for students in any major. Must be taken in addition to BIOL 1009 to fulfill prerequisites for allied health grad programs.

This course explores several interdisciplinary questions, each of which addresses biology through an ethical and societal lens.  In “What makes humans unique?”, we will consider the evolution of human traits, how the concept of race relates to human genetic diversity, and the fallibility of human memories.  In “How does blood and organ donation work?”, we will examine how our bodies can recognize and respond to foreign materials, how vaccines work, and who should have access to life saving tissue and organ transplants.  In “How do stress, diet and exercise affect health?” ,we will consider disparities in access to adequate nutrition, exposure to stress, and exercise, and how these affect our bodies and our mental health.  Lastly, in “How does a unique individual develop from a single cell”, we will examine how a single cell develops into a fully functional human being, and how similar processes lead to cancer. We will also consider the role of genes and hormones in human reproduction and the development of reproductive structures in embryos, while explicitly addressing the ethics of the distinctions between the concepts of sex characteristics, sex assigned at birth, and gender. We will learn how a cell can become cancerous, as well as how a cell develops into a fully functioning human being.  Additionally, we will consider the role of hormones in the development of male, female, and intersex organs, while being explicit about the differences between gender, sexual orientation, and sex assigned at birth.  

In lecture, instructors and teaching assistants will support students as they evaluate data and work through concepts in teams. Students will also dedicate significant time to the consideration of ethical questions in human biology, and work with teammates to organize and present a position on a policy related to an ethics question. In lab, students will further explore human anatomy and physiology, connecting structure and function through several dissections and activities. Students will read and share scientific papers, make observations, design experiments and analyze data.  Students will work in teams to complete a multi-week project on the physiology of stress. We will continue our exploration of ethics topics in lab, where we will discuss and apply ethics in human subjects research and research on non-human animals.  

About ⅓ of the course grade will be based on four traditional lecture exams and a final lab exam. The remainder of the course grade is comprised of open notes quizzes, in class team assignments, individual assignments, and team projects. Course grading is based on mastery of concepts and skills, and students are encouraged to collaborate in understanding course material.","4","4","No","1","4","OPT - Student Option","-","Every Fall & Spring"
"BIOL","1101","Genetics and Society","Twin Cities","Principles of heredity and their social and cultural implications.

prereq: Credit will not be granted if credit has been received for: BIOL 3020, Biol 4003, GCD 3022. No CBS Major Juniors or Seniors.","3","3","No","1","3","OPT - Student Option","-","Every Spring"
"BIOL","3209","Understanding the Evolution-Creationism Controversy","Twin Cities","Aspects of evolution-creationism controversy, including its history, legacy, relevance, and key people. Court decisions, public opinion, and related issues (e.g., racism, politics).

prereq: BIOL 1001, 1009, 1951 or 2002, or equiv","3","3","No","1","3","A-F - A-F Grade Basis","-","Every Fall & Spring"
"CHLS","1275","Making a Difference: Learning with Chicano and Latino Communities","Twin Cities","This course takes a different approach to service-learning, also known as community engagement. By providing opportunities for authentic engagement with Chicano and Latino communities, this course emphasizes real-world learning where it matters most. Through activities designed around relationality and real connections, this course opens new ways of being for college students interested in working with K-12 students. Students define their learning experience in this course. This is not a top-down instructor-driven course. ","3","3","No","1","3","A-F - A-F Grade Basis","-","Periodic Fall"
"CHLS","3216W","The Power of Chicana/o/x Art: 1960s to the present","Twin Cities","What is Chicana/o/x art? Does Ruben Salazar’s bluntly stated notion of a “Chicano” suggest an answer? “A Chicano [Chicana or Chicanx] is a Mexican-American with a non-Anglo image of himself [herself or themselves]” (Los Angeles Times, 1970). Chicano, Chicana, and Chicanx identities crystalized during the Chicano Movement (1965-1980), which witnessed the rise of collective mobilizations to improve the labor conditions, education, housing, health, and civil rights for Mexican Americans. From its inception, the Chicano Movement attracted artists who created a new aesthetic and framework for producing art, but they did not merely illustrate the social and civil rights movement by creating posters and flyers. Artists theorized, negotiated, proposed, and initiated new ethics, aesthetics, and ways of thinking that supported self-determination, hope, social critique, solidarity, and justice. Increasingly since the 1980s, Chicanas and Chicanx artists renegotiated this social justice contract. Chicana/o/x art continues to inform Mexican American cultural production and the nation’s cultural heritage. Social intervention, empowerment, and institutional critique remain some of the most important innovations of American artists, Chicana/o/x artists among them.","3","3","No","1","3","A-F - A-F Grade Basis","-","Every Fall"
"CHLS","3374","Si Se Puede! Migrant Farmworkers: Historical Struggles and Current Crusades","Twin Cities","The course explores the historical background of migrant farmworkers and their struggles in the United States. Students learn about the socioeconomic and political forces that impact migrant farmworkers and the effects of relevant laws and policies on their everyday lives. The role and power of consumers within the food production chain is critically analyzed to encourage reflection and civic engagement on farmworker realities. The organizing strategies of unions and advocacy groups are analyzed at the grassroots, local, statewide, and national levels. Various organizing models and campaigns are studied to address human rights problems and the future of farmworker movements.","3","3","No","1","3","OPT - Student Option","-","Every Spring"
"CHLS","4275","Theory in Action: Community Engagement in a Social Justice Framework","Twin Cities","Theoretical frameworks of social justice and community engagement for work outside classroom with/in Latina/o community. Worker issues/organizing. Placements in unions, worker organizations. Policy initiatives on labor issues. Students reflect on their own identity development, social location, and position of power/privilege. ","3","3","No","1","3","OPT - Student Option","-","Every Fall"
"CHLS","5216W","The Power of Chicana/o/x Art: 1960s to the present","Twin Cities","What is Chicana/o/x art? Does Ruben Salazar’s bluntly stated notion of a “Chicano” suggest an answer? “A Chicano [Chicana or Chicanx] is a Mexican-American with a non-Anglo image of himself [herself or themselves]” (Los Angeles Times, 1970). Chicano, Chicana, and Chicanx identities crystalized during the Chicano Movement (1965-1980), which witnessed the rise of collective mobilizations to improve the labor conditions, education, housing, health, and civil rights for Mexican Americans. From its inception, the Chicano Movement attracted artists who created a new aesthetic and framework for producing art, but they did not merely illustrate the social and civil rights movement by creating posters and flyers. Artists theorized, negotiated, proposed, and initiated new ethics, aesthetics, and ways of thinking that supported self-determination, hope, social critique, solidarity, and justice. Increasingly since the 1980s, Chicanas and Chicanx artists renegotiated this social justice contract. Chicana/o/x art continues to inform Mexican American cultural production and the nation’s cultural heritage. Social intervention, empowerment, and institutional critique remain some of the most important innovations of American artists, Chicana/o/x artists among them.","3","3","No","1","3","A-F - A-F Grade Basis","-","Every Fall"
"CI","1908W","Children and Other Talking Animals","Twin Cities","This course looks at animal tales as reflecting the never-entirely-suppressed memory of our kinship with animals and offering a hope for the future. The theoretical lens adopted in this course is environmental ethics: you’ll be challenged to reflect about what it means to be a person and/or an animal, and you’ll learn to see various genres of animal tales, historic and contemporary, as reflecting the multifaceted evolution of environmental ethics. We’ll explore the benefits of reaching out and learning from the “Other” long excluded from conversation: animals, the natural world, and children. Starting from ancient myths and beast fables, through folk and fairy tales, and on to modern novels and films and games, we’ll study stories about talking animals, animal guides, and animal companions as reflecting the complex ethical and culturally-situated conceptualizations of the human relationship with the natural world. We’ll trace the changing perception of animals in these narratives and explore the deep human need for animal companionship. We’ll explore why young children talk to animals and to the world around them. Linking the child and the animal, we’ll seek answers to why the bulk of animal stories today can be found in children’s literature. We’ll learn about anthropomorphism, totemism, animism, speciesism, environmentalism, empathic understanding and the cognitive-affective role of storytelling. Our readings will include global and multicultural narratives in the genres of fantasy, myth, folktale, fairy tale, and realistic fiction. You’ll work individually and in groups on written and oral assignments that will demonstrate your growing understanding of the role of animal tales in the past and the present—both in the context of child’s cognitive-affective development and in the context of humanity’s accelerating assault on the biosphere.

About the instructor:
Catherine Cavanaugh is a Lecturer in the Department of Curriculum and Instruction within the College of Education and Human Development at the University of Minnesota-Twin Cities. Prior to receiving her PhD from Fordham University, she was an elementary educator.","3","3","No","1","3","OPT - Student Option","001475","Every Fall & Spring"
